scenario,scenario_code,deployment_entry,mapped_scheme,record_type,iteration,tamper_field,tamper_name,payload_bytes,policy_accept,policy_reason,verify_success_baseline,verify_total_baseline,tampered_message_reject_baseline,tampered_signature_reject_baseline,sign_mean_ms,verify_mean_ms,verify_p95_ms,verify_throughput_sig_s,pk_bytes,sig_bytes
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,1,,,295,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,1,scheduling_domain,调度域篡改,295,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,1,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,1,certificate_digest,证书摘要篡改,249,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,2,,,292,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,2,scheduling_domain,调度域篡改,292,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,2,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,2,certificate_digest,证书摘要篡改,246,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,3,,,292,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,3,scheduling_domain,调度域篡改,292,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,3,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,3,certificate_digest,证书摘要篡改,246,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,4,,,295,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,4,scheduling_domain,调度域篡改,295,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,4,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,4,certificate_digest,证书摘要篡改,249,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,5,,,295,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,5,scheduling_domain,调度域篡改,295,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,5,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,5,certificate_digest,证书摘要篡改,249,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,6,,,292,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,6,scheduling_domain,调度域篡改,292,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,6,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,6,certificate_digest,证书摘要篡改,246,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,7,,,292,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,7,scheduling_domain,调度域篡改,292,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,7,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,7,certificate_digest,证书摘要篡改,246,0,certificate_registry_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,valid,8,,,295,1,ok,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,8,scheduling_domain,调度域篡改,295,0,domain_mismatch,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
量子计算网络节点准入,quantum_network_node_admission,节点准入控制器,titan-n8-r16,tampered,8,node_role,节点角色篡改,294,0,role_not_allowed,50,50,50,50,16.534,1.808,2.674,553.097,512,3104
